PC,Region,Corr_Visual,Pval_Visual,Corr_Auditory,Pval_Auditory,Corr_Interaction,Pval_Interaction,region_vis_prob,region_vis_prob_va
PC_0,7Networks_LH_Vis_1,-0.4791825927170037,5.42213477207726e-13,0.8323998660180798,4.309147378319267e-42,-0.6679521146382374,1.3993180034239054e-23,0.95,0.625
PC_0,7Networks_LH_Vis_2,0.4791825927170037,5.42213477207726e-13,-0.8323998660180798,4.309147378319267e-42,0.6679521146382374,1.3993180034239054e-23,0.95,0.625
PC_0,7Networks_LH_Vis_3,0.47918259271700375,5.42213477207726e-13,-0.8323998660180797,4.309147378319732e-42,0.6679521146382374,1.3993180034239054e-23,0.95,0.625
PC_0,7Networks_LH_Vis_4,0.4791825927170037,5.42213477207726e-13,-0.8323998660180798,4.309147378319267e-42,0.6679521146382374,1.3993180034239054e-23,0.95,0.625
PC_0,7Networks_LH_Vis_5,0.4791825927170037,5.42213477207726e-13,-0.8323998660180798,4.309147378319267e-42,0.6679521146382374,1.3993180034239054e-23,0.95,0.625
PC_0,7Networks_LH_Vis_6,0.4791825927170037,5.42213477207726e-13,-0.8323998660180798,4.309147378319267e-42,0.6679521146382377,1.3993180034238187e-23,0.95,0.625
PC_0,7Networks_LH_Vis_7,0.47918259271700375,5.42213477207726e-13,-0.8323998660180798,4.309147378319267e-42,0.6679521146382374,1.3993180034239054e-23,0.95,0.625
PC_0,7Networks_LH_Vis_8,0.4791825927170037,5.42213477207726e-13,-0.8323998660180798,4.309147378319267e-42,0.6679521146382374,1.3993180034239054e-23,0.95,0.625
PC_0,7Networks_LH_Vis_9,0.47918259271700375,5.42213477207726e-13,-0.8323998660180798,4.309147378319267e-42,0.6679521146382374,1.3993180034239054e-23,0.95,0.625
PC_0,7Networks_LH_SomMot_1,-0.47918259271700375,5.42213477207726e-13,0.8323998660180796,4.309147378319732e-42,-0.6679521146382377,1.3993180034238187e-23,0.38888888888888884,0.9333333333333332
PC_0,7Networks_LH_SomMot_2,-0.47918259271700375,5.42213477207726e-13,0.8323998660180798,4.309147378319267e-42,-0.6679521146382374,1.3993180034239054e-23,0.38888888888888884,0.9333333333333332
PC_0,7Networks_LH_SomMot_3,-0.4791825927170037,5.42213477207726e-13,0.8323998660180797,4.309147378319732e-42,-0.6679521146382374,1.3993180034239054e-23,0.38888888888888884,0.9333333333333332
PC_0,7Networks_LH_SomMot_4,-0.4791825927170037,5.42213477207726e-13,0.8323998660180798,4.309147378319267e-42,-0.6679521146382376,1.3993180034238187e-23,0.38888888888888884,0.9333333333333332
PC_0,7Networks_LH_SomMot_5,-0.47918259271700375,5.42213477207726e-13,0.8323998660180797,4.309147378319732e-42,-0.6679521146382376,1.3993180034238187e-23,0.38888888888888884,0.9333333333333332
PC_0,7Networks_LH_SomMot_6,-0.47918259271700375,5.42213477207726e-13,0.8323998660180798,4.309147378319267e-42,-0.6679521146382376,1.3993180034238187e-23,0.38888888888888884,0.9333333333333332
PC_0,7Networks_LH_DorsAttn_Post_1,0.47918259271700375,5.42213477207726e-13,-0.8323998660180798,4.309147378319267e-42,0.6679521146382374,1.3993180034239054e-23,0.75,0.5
PC_0,7Networks_LH_DorsAttn_Post_2,-0.4791825927170037,5.42213477207726e-13,0.8323998660180797,4.309147378319732e-42,-0.6679521146382377,1.3993180034238187e-23,0.75,0.5
PC_0,7Networks_LH_DorsAttn_Post_3,0.4791825927170037,5.42213477207726e-13,-0.8323998660180798,4.309147378319267e-42,0.6679521146382374,1.3993180034239054e-23,0.75,0.5
PC_0,7Networks_LH_DorsAttn_Post_4,0.4791825927170037,5.42213477207726e-13,-0.8323998660180797,4.309147378319732e-42,0.6679521146382374,1.3993180034239054e-23,0.75,0.5
PC_0,7Networks_LH_DorsAttn_Post_5,0.47918259271700375,5.42213477207726e-13,-0.8323998660180798,4.309147378319267e-42,0.6679521146382374,1.3993180034239054e-23,0.75,0.5
PC_0,7Networks_LH_DorsAttn_Post_6,-0.47918259271700375,5.42213477207726e-13,0.8323998660180798,4.309147378319267e-42,-0.6679521146382374,1.3993180034239054e-23,0.75,0.5
PC_0,7Networks_LH_DorsAttn_PrCv_1,-0.47918259271700375,5.42213477207726e-13,0.8323998660180798,4.309147378319267e-42,-0.6679521146382374,1.3993180034239054e-23,0.75,0.5333333333333333
